id,title,genre,plot,imdbRating,Year,Country,Language
157,Canadian Bacon (1994),Comedy|War,"The U.S. President, low in the opinion polls, gets talked into raising his popularity by trying to start a cold war against Canada.",5.9,1995,USA,English
158,Casper (1995),Adventure|Children's,A paranormal expert and his daughter bunk in an abandoned house populated by three mischievous ghosts and one friendly one.,6.0,1995,USA,English
159,Clockers (1995),Drama,"Young drug pushers in the projects of Brooklyn live hard dangerous lives, trapped between their drug bosses and the detectives out to stop them.",6.9,1995,USA,English
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.",5.1,1995,USA,"English, American Sign Language"
161,Crimson Tide (1995),Drama|Thriller|War,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny, to prevent his trigger happy Captain from launching his missiles, before confirming his orders to do so.",7.3,1995,USA,English
162,Crumb (1994),Documentary,An intimate portrait of the controversial cartoonist and his traumatized family.,8.0,1994,USA,English
163,Desperado (1995),Action|Romance|Thriller,A gunslinger is embroiled in a war with a local drug runner.,7.2,1995,USA,English
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,"An African-American man is hired to find a woman, and gets mixed up in a murderous political scandal.",6.7,1995,USA,English
165,Die Hard: With a Vengeance (1995),Action|Thriller,"John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City, where he plans to rob the Federal Reserve Building.",7.6,1995,USA,"English, German, Romanian"
166,"Doom Generation, The (1995)",Comedy|Drama,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex and violence-filled journey through an America of psychos and quickiemarts.",5.9,1995,"USA, France",English
167,Feast of July (1995),Drama,"After an abandoned young woman in late 19th Century England is taken in by a rural couple with three handsome sons, tragic consequences result.",6.4,1995,"USA, UK",English
168,First Knight (1995),Action|Adventure|Drama|Romance,"Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table.",5.9,1995,"USA, UK",English
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,4.9,1995,"France, USA","English, Malay, Indonesian"
170,Hackers (1995),Action|Crime|Thriller,Dade Murphy was a hacker even as a kid in Seattle. He got arrested for the computer virus that he planted and was banned from using any computer until the age of 18.Then he moves to New ...,6.2,1995,USA,"English, Italian, Japanese, Russian"
171,Jeffrey (1995),Comedy,"Jeffrey, a young gay man in New York, decides that sex is too much and decides to become celibate. He immediately meets the man of his dreams and must decide whether or not love is worth ...",6.7,1995,USA,English
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.",5.6,1995,"Canada, USA","English, Japanese"
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,"In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart.",5.5,1995,USA,English
174,Jury Duty (1995),Comedy,"When jobless Tommy Collins discovers that sequestered jurors earn free room and board as well as $5-a-day, he gets himself assigned to a jury in a murder trial. Once there, he does ...",4.1,1995,USA,English
175,Kids (1995),Drama,"A day in the life of a group of teens as they travel around New York City skating, drinking, smoking, and deflowering virgins.",7.0,1995,USA,English
176,Living in Oblivion (1995),Comedy,Film about filmmaking. It takes place during one day on set of non-budget movie. Ultimate tribute to all independent filmmakers.,7.6,1995,USA,English
177,Lord of Illusions (1995),Horror,"During a routine case in L.A., NY private investigator Harry D'Amour stumbles over members of a fanatic cult, who are waiting for the resurrection of their leader Nix. 13 years ago, Nix was...",6.0,1995,USA,English
178,Love & Human Remains (1993),Comedy,"The story of singer Tina Turner's rise to stardom and how she gained the courage to break free from abusive husband, Ike Turner.",7.2,1993,USA,English
179,Mad Love (1995),Drama|Romance,The high-school student Matt Leland lives with his twin brother and sister and his father in a house by the lake. When the teenager Casey Roberts moves to the house on the other side of the...,5.3,1995,USA,English
180,Mallrats (1995),Comedy,"Both dumped by their girlfriends, two best friends seek refuge in the local mall.",7.2,1995,USA,English
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,"A giant egg is unearthed at a construction site and soon opened, releasing the terrible Ivan Ooze, who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and their powers lost, the Rangers head to a distant planet to find the mystic warrior Dulcea.",5.1,1995,"USA, Japan, Australia",English
182,Moonlight and Valentino (1995),Drama|Romance,A young widow still grieving over the death of her husband finds herself being comforted by a local housepainter.,5.8,1995,"UK, USA",English
183,Mute Witness (1994),Thriller,"Billy Hughes, a mute makeup artist working on a slasher film being shot in Moscow, is locked in the studio after hours. While there she witnesses a brutal murder, and must first escape ...",6.8,1995,"Russia, UK, Germany","English, Russian"
184,Nadja (1994),Drama,"This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of ...",6.0,1994,USA,English
185,"Net, The (1995)",Sci-Fi|Thriller,"A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger.",5.9,1995,USA,"English, Spanish"
186,Nine Months (1995),Comedy,"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.",5.4,1995,USA,"English, Russian"
187,Party Girl (1995),Comedy,"Mary is a free-spirited young woman with a run-down New York apartment and a high fashion wardrobe. She calls her godmother, a librarian, for bail money after being arrested for throwing an...",6.6,1995,USA,English
188,"Prophecy, The (1995)",Horror,"The angel Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven, and only a former priest and a little girl can stop him.",6.6,1995,USA,English
189,Reckless (1995),Comedy,"On Christmas Eve, a regretful husband admits to his high-spirited wife that he has hired a contract killer to take her out. She immediately flees. A nice couple offers her shelter, but everyone have dark secrets in this wacky movie.",5.1,1995,USA,English
190,Safe (1995),Thriller,An affluent and unexceptional homemaker in the suburbs develops multiple chemical sensitivity.,7.2,1995,"UK, USA",English
191,"Scarlet Letter, The (1995)",Drama,An affair between a young woman and a pastor has disastrous consequences.,5.2,1995,USA,English
192,"Show, The (1995)",Documentary,"Drew is an assistant director of personnel in a Cleveland department store and he has been stuck there for ten years. Other than fighting with co-worker Mimi, his hobbies include drinking ...",6.9,1995–2004,USA,English
193,Showgirls (1995),Drama,"Nomi, a young drifter, arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become the top of the Vegas showgirls.",4.6,1995,"France, USA",English
194,Smoke (1995),Drama,"A Brooklyn smoke shop is the center of neighborhood activity, and the stories of its customers.",7.4,1995,"Germany, Japan, USA",English
195,Something to Talk About (1995),Comedy|Drama|Romance,A woman's world is rocked when she discovers her husband is cheating on her.,5.7,1995,USA,English
196,Species (1995),Horror|Sci-Fi,A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.,5.8,1995,USA,English
197,"Stars Fell on Henrietta, The (1995)",Drama,"The setting is early America during the oil boom. An elderly, down on his luck 'oil man', Mr. Cox finds himself in the town of Henrietta. Using unconventional methods, he convinces himself ...",6.5,1995,USA,English
198,Strange Days (1995),Action|Crime|Sci-Fi,A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.,7.2,1995,USA,English
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,A young girl separated from her lover by war faces a life-altering decision.,7.8,1964,"France, West Germany",French
200,"Tie That Binds, The (1995)",Thriller,John Netherwood and his wife Leann are fugitives who are both wanted for murder. They have a young daughter named Janie. John and Leann are in the process of robbing a house when the two ...,5.0,1995,USA,English
201,Three Wishes (1995),Drama,"In an unexplained act of charity, Jeanne Holman, picks up an injured, apparent tramp and takes him home to care for him little realising who he was or the effect he would have on her life and those of her family.",6.2,1995,USA,English
202,Total Eclipse (1995),Drama|Romance,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.",6.6,1995,"UK, France, Belgium",English
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,"Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town.",6.4,1995,USA,"English, French, Italian"
204,Under Siege 2: Dark Territory (1995),Action,"Casey Ryback hops on a Colorado to LA train to start a vacation with his niece. Early into the trip, terrorists board the train and use it as a mobile HQ to hijack a top secret destructive US satellite.",5.4,1995,USA,English
